ID,Ethnicity
159,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
160,White 
161,Chinese (including Hong Kong and Macau)
162,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
163,Chinese (including Hong Kong and Macau)
164,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
165,Chinese (including Hong Kong and Macau)
166,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
167,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
168,Chinese (including Hong Kong and Macau)
169,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
170,Chinese (including Hong Kong and Macau)
171,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
172,Chinese (including Hong Kong and Macau)
173,White 
174,Chinese (including Hong Kong and Macau)
175,Chinese (including Hong Kong and Macau)
176,Chinese (including Hong Kong and Macau)
177,Filipino
178,Chinese (including Hong Kong and Macau)
179,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
180,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
181,Filipino
182,Chinese (including Hong Kong and Macau)
183,Filipino
184,"Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) ,White "
185,Korean
186,White 
187,Chinese (including Hong Kong and Macau)
188,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
189,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
190,None of the above
191,White 
192,Chinese (including Hong Kong and Macau)
193,Chinese (including Hong Kong and Macau)
194,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
195,Prefer not to answer
196,Chinese (including Hong Kong and Macau)
197,Chinese (including Hong Kong and Macau)
198,Arab 
199,Chinese (including Hong Kong and Macau)
200,Korean
201,Chinese (including Hong Kong and Macau)
202,White 
203,Korean
204,"Chinese (including Hong Kong and Macau),White "
205,Chinese (including Hong Kong and Macau)
206,Chinese (including Hong Kong and Macau)
207,White 
208,White 
209,White 
210,White 
211,"Indigenous person of Canada (First Nations, Inuit, Métis),White "
212,Chinese (including Hong Kong and Macau)
213,White 
214,Chinese (including Hong Kong and Macau)
215,Chinese (including Hong Kong and Macau)
216,Filipino
217,White 
218,White 
219,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
220,White 
221,Chinese (including Hong Kong and Macau)
222,"Chinese (including Hong Kong and Macau),White "
223,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
224,White 
225,Chinese (including Hong Kong and Macau)
226,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
227,Chinese (including Hong Kong and Macau)
228,White 
229,White 
230,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
231,Chinese (including Hong Kong and Macau)
232,Chinese (including Hong Kong and Macau)
233,Chinese (including Hong Kong and Macau)
234,White 
235,Chinese (including Hong Kong and Macau)
236,"Indigenous person of Canada (First Nations, Inuit, Métis)"
237,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
238,Japanese
239,Arab 
240,Filipino
241,"Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) "
242,Korean
243,Prefer not to answer
244,Chinese (including Hong Kong and Macau)
245,Chinese (including Hong Kong and Macau)
246,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
247,White 
248,Chinese (including Hong Kong and Macau)
249,Chinese (including Hong Kong and Macau)
250,"Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) "
251,Chinese (including Hong Kong and Macau)
252,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
253,White 
254,White 
255,Chinese (including Hong Kong and Macau)
256,Chinese (including Hong Kong and Macau)
257,None of the above
258,White 
259,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
260,Chinese (including Hong Kong and Macau)
261,Korean
262,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
263,Chinese (including Hong Kong and Macau)
264,"Arab ,White "
265,Chinese (including Hong Kong and Macau)
266,White 
267,White 
268,"Chinese (including Hong Kong and Macau),Korean"
